FullANGLE	FullRADIANS	FullFID	FullAD	Site
20	0.34906585	16	46	KP
10	0.174532925	9.5	54.6539083	KP
0	0	10	11	KP
10	0.174532925	10	13.91507889	KP
20	0.34906585	26.5	60	KP
10	0.174532925	12.5	60.41432363	KP
0	0	12.7	42.2	KP
20	0.34906585	15	18.69625205	KP
0	0	15	32	KP
20	0.34906585	15.4	42.81531693	KP
60	1.047197551	17	18.30029762	KP
30	0.523598776	17	32.41810396	KP
10	0.174532925	17.4	18.38394125	KP
0	0	17.6	28.4	KP
0	0	17.7	42.2	KP
10	0.174532925	20	39.39231012	KP
30	0.523598776	20.8	21.66001492	KP
20	0.34906585	21.8	37.32262833	KP
10	0.174532925	24	52.97202974	KP
0	0	28.3	84.3	KP
0	0	29	42	KP
0	0	30	37.3	KP
10	0.174532925	30	57.17798695	KP
10	0.174532925	30	57.17798695	KP
0	0	30.6	51.9	KP
20	0.34906585	32.3	45.36516646	KP
40	0.698131701	40	61.98833325	KP
0	0	51	92	KP
10	0.174532925	58	106.5868416	KP
0	0	60	71	KP
20	0.34906585	0	27	KP
60	1.047197551	0	43.6	KP
20	0.34906585	0	44	KP
30	0.523598776	0	47.5	KP
30	0.523598776	0	47.9	KP
60	1.047197551	0	56	KP
30	0.523598776	0	61.8	KP
30	0.523598776	0	69.3	KP
30	0.523598776	0	71.6	KP
20	0.34906585	0	81	KP
0	0	32	39	MV
0	0	30	40	MV
0	0	11	12	MV
0	0	12	14	MV
0	0	24	39	MV
0	0	31	57.5	MV
